Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup,type,size_type
Bangsar,7000000,6,4,6846.046,Partly Furnished,Land area,5,1,0,Bungalow,Deluxe,Extra Large
Bukit Tunku (Kenny Hills),14800000,8,6,12000.0,Partly Furnished,Land area,7,1,0,Bungalow,Deluxe,Extra Large
Sri Hartamas,14800000,7,5,13041.041,Fully Furnished,Land area,5,2,0,Bungalow,Deluxe,Extra Large
KL Eco City,1061100,1,1,786.086,Partly Furnished,Built-up,1,1,0,Condominium,Silver,Small
KL Eco City,900000,1,1,657.057,Fully Furnished,Built-up,1,0,0,Condominium,Silver,Small
Kepong,485000,2,1,950.05,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Desa ParkCity,1160000,2,2,1389.089,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Desa ParkCity,3550000,5,4,4306.006,Unfurnished,Built-up,4,1,0,Terrace/Link House,Deluxe,Extra Large
Damansara Heights,5400000,4,6,7300.0,Partly Furnished,Land area,4,1,0,Bungalow,Deluxe,Extra Large
KLCC,1300000,1,2,925.025,Partly Furnished,Built-up,1,0,0,Serviced Residence,Gold,Small
Wangsa Maju,1174338,5,3,2266.066,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
Mont Kiara,1600000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Mont Kiara,1890000,8,5,58.593,Unfurnished,Land area,5,1,0,Terrace/Link House,Gold,Small
KL Sentral,1049888,2,2,858.058,Partly Furnished,Built-up,2,0,0,Serviced Residence,Silver,Small
Mont Kiara,1850000,4,2,1830.03,Partly Furnished,Built-up,3,2,0,Condominium,Gold,Large
Desa ParkCity,2200000,4,3,61.0,Partly Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Desa ParkCity,3300000,5,4,60.08,Partly Furnished,Land area,5,0,0,Bungalow,Gold,Small
Desa ParkCity,3890000,6,4,60.08,Partly Furnished,Land area,7,1,0,Semi-detached House,Deluxe,Small
Mont Kiara,1470000,2,2,1200.0,Fully Furnished,Land area,3,0,0,Condominium,Gold,Medium
Taman Tun Dr Ismail,1450000,2,2,52.08,Fully Furnished,Land area,3,0,0,Terrace/Link House,Gold,Small
Sungai Besi,2000000,6,6,1053.08,Partly Furnished,Land area,4,1,0,Semi-detached House,Gold,Medium
Damansara Heights,7612600,4,3,4478.078,Partly Furnished,Built-up,4,2,0,Serviced Residence,Deluxe,Extra Large
Bukit Jalil,1060000,3,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
Jalan Klang Lama (Old Klang Road),738000,2,2,1092.092,Partly Furnished,Built-up,4,0,0,Condominium,Silver,Medium
Desa ParkCity,3650000,6,4,53.585,Fully Furnished,Land area,4,1,0,Terrace/Link House,Deluxe,Small
Bangsar,2990000,3,3,62.085,Partly Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Cheras,715000,2,1,750.05,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Small
Wangsa Maju,950000,3,2,1637.037,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Large
Damansara Heights,2500000,3,3,2800.0,Partly Furnished,Land area,4,0,0,Terrace/Link House,Gold,Large
Damansara Heights,3000000,4,4,3550.05,Partly Furnished,Land area,5,0,0,Semi-detached House,Gold,Large
Desa ParkCity,2400000,5,5,51.08,Partly Furnished,Land area,6,0,0,Terrace/Link House,Gold,Small
Desa ParkCity,1990000,6,2,61.0,Fully Furnished,Land area,5,1,0,Terrace/Link House,Gold,Small
KLCC,1250000,1,1,880.08,Fully Furnished,Built-up,1,1,0,Serviced Residence,Gold,Small
Bukit Jalil,1050000,3,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
Cheras,780000,1,1,624.024,Fully Furnished,Built-up,1,0,0,Apartment,Silver,Small
KLCC,1350000,2,2,1270.07,Fully Furnished,Built-up,2,0,0,Condominium,Gold,Medium
Damansara Heights,2650000,4,3,2077.077,Partly Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
Mont Kiara,2450000,4,3,3000.0,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,2550000,6,3,3541.041,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Sungai Besi,1350000,5,2,50.08,Fully Furnished,Land area,6,0,0,Terrace/Link House,Gold,Small
Taman Tun Dr Ismail,1500000,3,3,49.575,Partly Furnished,Land area,4,0,0,Terrace/Link House,Gold,Small
Bukit Jalil,930000,4,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
KLCC,2400000,2,1,1006.006,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Country Heights Damansara,11800000,8,6,8622.022,Fully Furnished,Land area,7,0,0,Bungalow,Deluxe,Extra Large
KLCC,1250000,1,1,850.05,Fully Furnished,Built-up,1,0,0,Serviced Residence,Gold,Small
Mont Kiara,1450000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Bukit Jalil,940000,3,3,1513.013,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
Dutamas,1150000,2,1,1148.048,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Medium
Bangsar,2100000,3,2,1875.075,Partly Furnished,Land area,4,1,0,Terrace/Link House,Gold,Large
Damansara Heights,4680000,4,4,3800.0,Partly Furnished,Land area,4,2,0,Semi-detached House,Deluxe,Extra Large
KLCC,2761000,2,1,1023.023,Partly Furnished,Built-up,1,0,0,Serviced Residence,Gold,Medium
Mont Kiara,1100000,3,2,1200.0,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Medium
Bukit Jalil,3200000,7,5,5317.017,Partly Furnished,Land area,6,1,0,Bungalow,Gold,Extra Large
Kepong,528000,2,2,960.06,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Bukit Jalil,928000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
Bukit Jalil,1100000,4,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
Mont Kiara,1668000,4,2,1668.068,Partly Furnished,Built-up,4,0,0,Condominium,Gold,Large
Kepong,415000,2,2,932.032,Unfurnished,Built-up,4,0,0,Condominium,Bronze,Small
Taman Tun Dr Ismail,2600000,3,3,3600.0,Partly Furnished,Land area,4,1,0,Semi-detached House,Gold,Large
Sentul,700000,3,2,999.099,Partly Furnished,Built-up,2,1,0,Condominium,Silver,Medium
Jalan Klang Lama (Old Klang Road),375000,2,1,775.075,Fully Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Wangsa Maju,425000,2,2,880.08,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
Mont Kiara,2600000,4,3,3041.041,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Batu Caves,730000,2,2,1227.027,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Cheras,480000,2,2,825.025,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
KLCC,1450000,2,1,1050.05,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
KLCC,3600000,3,2,1668.068,Partly Furnished,Built-up,2,1,0,Serviced Residence,Deluxe,Large
Taman Desa,600000,2,1,935.035,Fully Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
Taman Desa,620000,2,1,935.035,Unfurnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
Taman Desa,498000,2,1,715.015,Partly Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Bukit Jalil,860000,1,1,933.033,Partly Furnished,Built-up,1,1,0,Serviced Residence,Silver,Small
Bukit Jalil,1350000,3,3,1519.019,Partly Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
Bukit Jalil,750000,2,1,750.05,Partly Furnished,Built-up,1,1,0,Serviced Residence,Silver,Small
KLCC,3609950,3,1,1560.06,Fully Furnished,Built-up,3,0,0,Serviced Residence,Deluxe,Large
Bangsar,530000,1,1,600.0,Fully Furnished,Built-up,1,1,0,Condominium,Bronze,Small
Sentul,848000,3,2,1381.081,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Medium
Sentul,695000,2,2,999.099,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Bandar Menjalara,430000,2,2,1076.076,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bangsar,1250000,2,2,51.08,Partly Furnished,Land area,3,0,0,Terrace/Link House,Gold,Small
Bangsar,5200000,5,8,12250.05,Partly Furnished,Land area,5,0,0,Bungalow,Deluxe,Extra Large
Cheras,285000,2,1,748.048,Partly Furnished,Land area,3,0,0,Apartment,Bronze,Small
Cheras,400000,2,1,920.02,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Seputeh,543353,1,1,667.067,Partly Furnished,Built-up,1,0,0,Condominium,Bronze,Small
Bukit Jalil,520000,2,2,1100.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
KLCC,1900000,2,1,1076.076,Partly Furnished,Built-up,1,1,0,Serviced Residence,Gold,Medium
KLCC,2150000,2,1,1079.079,Partly Furnished,Built-up,1,1,0,Serviced Residence,Gold,Medium
KLCC,4280000,5,2,2195.095,Partly Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Mont Kiara,900000,2,1,1208.008,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
KL City,440000,2,2,1065.065,Partly Furnished,Built-up,3,1,0,Condominium,Bronze,Medium
Mont Kiara,2290000,5,3,2767.067,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,2253000,6,3,2702.002,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,1660000,4,2,1878.078,Unfurnished,Built-up,3,0,0,Condominium,Gold,Large
Mont Kiara,2980000,6,3,3668.068,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Desa ParkCity,2280000,6,2,51.08,Fully Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Other,4467122,5,4,4422.022,Partly Furnished,Built-up,5,0,0,Terrace/Link House,Deluxe,Extra Large
Other,5344829,5,4,5315.015,Partly Furnished,Built-up,5,0,0,Terrace/Link House,Deluxe,Extra Large
Damansara Heights,2100000,3,2,51.08,Partly Furnished,Land area,4,0,0,Terrace/Link House,Gold,Small
Mont Kiara,3484600,6,3,3668.068,Partly Furnished,Built-up,4,1,0,Condominium,Deluxe,Large
Bangsar,2400000,3,2,55.085,Partly Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
Desa ParkCity,1300000,2,2,1323.023,Partly Furnished,Built-up,2,0,0,Condominium,Gold,Medium
Desa ParkCity,1250000,2,2,1300.0,Partly Furnished,Built-up,2,0,0,Condominium,Gold,Medium
Desa ParkCity,1730000,4,2,1700.0,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,2850000,4,3,37.044,Partly Furnished,Land area,3,1,0,Terrace/Link House,Gold,Small
Desa ParkCity,1350000,3,3,1701.001,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,1350000,4,2,1680.08,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Bangsar,950000,2,1,1518.018,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Large
Damansara Heights,2280000,5,2,3303.003,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Damansara Heights,1150000,2,1,1205.005,Partly Furnished,Built-up,2,1,0,Condominium,Silver,Medium
Damansara Heights,3600000,4,3,2702.002,Partly Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Desa ParkCity,850000,3,1,1173.073,Fully Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Desa ParkCity,3400000,6,2,4400.0,Partly Furnished,Built-up,4,1,0,Terrace/Link House,Gold,Extra Large
Mont Kiara,920000,2,2,1448.048,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Desa ParkCity,1600000,2,2,1400.0,Partly Furnished,Built-up,2,1,0,Condominium,Gold,Medium
Desa ParkCity,1400000,3,2,1572.072,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,1170000,2,2,1389.089,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Mont Kiara,2940000,5,3,3668.068,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Dutamas,1131760,5,2,1942.042,Unknown,Built-up,3,1,0,Condominium,Silver,Large
Mont Kiara,3200000,5,3,3668.068,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,2950000,6,3,3668.068,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,3680000,6,3,4090.09,Partly Furnished,Built-up,4,1,0,Condominium,Deluxe,Extra Large
Mont Kiara,2890000,6,3,3478.078,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Dutamas,1138060,5,2,2081.081,Unknown,Built-up,3,1,0,Condominium,Silver,Large
Desa ParkCity,2600000,6,2,3197.097,Partly Furnished,Built-up,4,1,0,Terrace/Link House,Gold,Large
Desa ParkCity,1080000,1,2,1034.034,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Desa ParkCity,5300000,7,2,6088.088,Partly Furnished,Built-up,5,1,0,Terrace/Link House,Deluxe,Extra Large
Desa ParkCity,1180000,2,2,1087.087,Fully Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Desa ParkCity,5600000,9,2,7000.0,Partly Furnished,Built-up,6,1,0,Terrace/Link House,Deluxe,Extra Large
Mont Kiara,3490000,5,3,3720.02,Fully Furnished,Built-up,4,1,0,Condominium,Deluxe,Extra Large
Desa ParkCity,989000,2,2,1333.033,Unknown,Built-up,3,1,0,Condominium,Silver,Medium
Desa ParkCity,883000,2,2,1093.093,Unfurnished,Built-up,2,1,0,Condominium,Silver,Medium
Desa ParkCity,1530000,4,2,2066.066,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,2300000,4,2,2600.0,Partly Furnished,Built-up,3,1,0,Terrace/Link House,Gold,Large
City Centre,1550000,3,1,1453.053,Fully Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
Desa ParkCity,2350000,3,2,2500.0,Partly Furnished,Built-up,3,1,0,Terrace/Link House,Gold,Large
Desa ParkCity,2850000,6,5,3500.0,Partly Furnished,Built-up,5,1,0,Terrace/Link House,Gold,Large
Desa ParkCity,2990000,5,5,3600.0,Partly Furnished,Built-up,5,1,0,Terrace/Link House,Gold,Large
Desa ParkCity,1900000,4,2,1851.051,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Taman Tun Dr Ismail,4200000,5,3,3832.032,Partly Furnished,Built-up,4,1,0,Serviced Residence,Deluxe,Extra Large
Taman Tun Dr Ismail,1550000,3,2,1445.045,Partly Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
Taman Tun Dr Ismail,2800000,5,2,2426.026,Unfurnished,Built-up,3,1,0,Serviced Residence,Gold,Large
Taman Tun Dr Ismail,1480000,3,2,1691.091,Partly Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
Sentul,810000,3,2,1186.086,Unfurnished,Built-up,3,0,0,Condominium,Silver,Medium
Sentul,800000,3,1,1237.037,Unfurnished,Built-up,3,0,0,Condominium,Silver,Medium
Kepong,950000,3,2,48.575,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Mont Kiara,2950000,4,3,3478.078,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Bandar Menjalara,850000,3,2,51.08,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Bandar Menjalara,560000,2,2,770.07,Partly Furnished,Land area,3,0,0,Terrace/Link House,Bronze,Small
Dutamas,995000,3,3,2100.0,Partly Furnished,Built-up,4,0,0,Condominium,Silver,Large
Sentul,768000,2,1,1180.08,Unfurnished,Built-up,2,1,0,Condominium,Silver,Medium
Sentul,970000,4,2,1488.088,Unfurnished,Built-up,3,1,0,Condominium,Silver,Large
Sentul,880900,3,3,1373.073,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Mont Kiara,1800000,4,2,1830.03,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Jalan Klang Lama (Old Klang Road),390000,2,1,775.075,Partly Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Bukit Jalil,995000,2,2,1218.018,Fully Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Bukit Jalil,900000,2,2,1218.018,Unfurnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Sentul,670000,2,1,1200.0,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Mont Kiara,1280000,2,2,1200.0,Partly Furnished,Built-up,3,0,0,Condominium,Gold,Medium
City Centre,1600000,3,2,1442.042,Fully Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
City Centre,1900000,3,2,1453.053,Fully Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
Jalan Klang Lama (Old Klang Road),890000,3,2,1578.078,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
City Centre,2300000,3,2,1614.014,Partly Furnished,Land area,2,1,0,Serviced Residence,Gold,Large
Desa ParkCity,6700000,7,4,6200.0,Partly Furnished,Land area,7,1,0,Bungalow,Deluxe,Extra Large
Desa ParkCity,1180000,2,2,1432.032,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Desa ParkCity,2100000,4,3,46.07,Partly Furnished,Land area,3,1,0,Terrace/Link House,Gold,Small
Desa ParkCity,6300000,7,10,7300.0,Partly Furnished,Land area,7,0,0,Bungalow,Deluxe,Extra Large
Desa ParkCity,1190000,3,2,1389.089,Partly Furnished,Built-up,2,1,0,Condominium,Silver,Medium
Desa ParkCity,2400000,4,3,61.0,Partly Furnished,Land area,5,1,0,Terrace/Link House,Gold,Small
Desa ParkCity,1200000,2,2,1087.087,Partly Furnished,Built-up,2,0,0,Condominium,Gold,Medium
Desa ParkCity,2388000,5,3,48.575,Fully Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Desa ParkCity,2080000,3,3,1948.048,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,1150000,1,2,1034.034,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Desa ParkCity,1590000,3,2,1900.0,Partly Furnished,Built-up,3,0,0,Terrace/Link House,Gold,Large
Desa ParkCity,848000,1,2,969.069,Partly Furnished,Built-up,1,1,0,Condominium,Silver,Small
Desa ParkCity,3200000,6,5,1991.091,Partly Furnished,Land area,5,0,0,Terrace/Link House,Gold,Large
Desa ParkCity,8300000,6,10,6900.0,Partly Furnished,Land area,6,1,0,Bungalow,Deluxe,Extra Large
Desa ParkCity,1400000,3,2,1572.072,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Dutamas,750000,1,3,672.072,Fully Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
Desa ParkCity,1580000,3,2,1900.0,Partly Furnished,Built-up,3,0,0,Terrace/Link House,Gold,Large
Desa ParkCity,1800000,3,2,1900.0,Partly Furnished,Built-up,3,0,0,Terrace/Link House,Gold,Large
Sunway SPK,3600000,5,6,74.003,Fully Furnished,Land area,5,1,0,Semi-detached House,Deluxe,Small
Sunway SPK,2050000,4,4,53.575,Partly Furnished,Land area,5,1,0,Terrace/Link House,Gold,Small
Jalan Kuching,380000,2,1,1216.016,Partly Furnished,Built-up,3,0,0,Apartment,Bronze,Medium
Bukit Jalil,560000,2,2,1100.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Kepong,358000,2,1,822.022,Partly Furnished,Built-up,2,1,0,Condominium,Bronze,Small
Sunway SPK,1750000,5,4,53.575,Partly Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
Mont Kiara,1270000,2,2,1200.0,Partly Furnished,Built-up,3,0,0,Condominium,Gold,Medium
KLCC,4700000,3,2,1786.086,Fully Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Ampang,4900000,7,6,10000.0,Partly Furnished,Land area,5,1,0,Bungalow,Deluxe,Extra Large
Mont Kiara,1300000,2,2,1448.048,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Mont Kiara,1990000,3,4,3152.052,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,1900000,5,2,2552.052,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,1300000,3,2,1448.048,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,830000,1,1,904.004,Fully Furnished,Built-up,1,1,0,Condominium,Silver,Small
Desa ParkCity,5900000,7,2,6207.007,Partly Furnished,Built-up,5,1,0,Terrace/Link House,Deluxe,Extra Large
Desa ParkCity,1450000,3,2,1680.08,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,1480000,3,1,1458.058,Fully Furnished,Built-up,2,1,0,Condominium,Gold,Large
Desa ParkCity,2500000,6,2,3228.028,Partly Furnished,Built-up,4,1,0,Terrace/Link House,Gold,Large
Jalan Klang Lama (Old Klang Road),1100000,4,3,1782.082,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
OUG,1450000,5,2,2809.009,Partly Furnished,Land area,4,1,0,Semi-detached House,Gold,Large
Taman Tun Dr Ismail,980000,2,1,1300.0,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Taman Tun Dr Ismail,1390000,4,2,1800.0,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Sri Petaling,1600000,4,4,4300.0,Partly Furnished,Land area,5,1,0,Terrace/Link House,Gold,Extra Large
Taman Tun Dr Ismail,1000000,2,1,1560.06,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Large
Taman Tun Dr Ismail,1400000,3,2,1900.0,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Taman Tun Dr Ismail,1450000,2,2,1680.08,Fully Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
Bangsar,730000,1,1,783.083,Fully Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
Segambut,690000,3,2,1298.098,Unfurnished,Land area,3,1,0,Condominium,Silver,Medium
KLCC,7500,2,1,1078.078,Fully Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Medium
Sentul,790000,2,1,1168.068,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Sentul,885000,3,2,1330.03,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Wangsa Maju,760000,2,2,1382.082,Unfurnished,Built-up,3,0,0,Condominium,Silver,Medium
Wangsa Maju,970000,2,2,1909.009,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Mont Kiara,720000,1,1,708.008,Partly Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
Sungai Besi,688000,4,3,1449.049,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Bukit Jalil,520000,3,2,1003.003,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Mont Kiara,950000,2,1,903.003,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Small
KLCC,2700000,5,3,3800.0,Partly Furnished,Built-up,4,0,0,Condominium,Gold,Extra Large
KLCC,3000000,5,3,3800.0,Partly Furnished,Built-up,4,0,0,Condominium,Gold,Extra Large
KLCC,1500000,4,2,2098.098,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
KLCC,2600000,4,2,3282.082,Partly Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
Mont Kiara,1180000,3,2,1756.056,Fully Furnished,Built-up,3,1,0,Condominium,Silver,Large
Taman Tun Dr Ismail,1660000,3,2,1445.045,Fully Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
Taman Tun Dr Ismail,2720000,4,2,2426.026,Partly Furnished,Built-up,3,2,0,Serviced Residence,Gold,Large
Mont Kiara,950000,3,2,1550.05,Fully Furnished,Built-up,3,1,0,Serviced Residence,Silver,Large
Mont Kiara,3317400,5,3,3671.071,Partly Furnished,Built-up,5,1,0,Condominium,Gold,Large
Kepong,485000,2,1,930.03,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Kepong,1300000,6,5,48.575,Partly Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
KLCC,3500000,4,3,3800.0,Partly Furnished,Built-up,4,1,0,Condominium,Deluxe,Extra Large
KLCC,2800000,4,3,3303.003,Partly Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
KLCC,850000,1,1,608.008,Fully Furnished,Built-up,1,1,0,Serviced Residence,Silver,Small
Bangsar,530000,1,1,600.0,Fully Furnished,Built-up,1,1,0,Condominium,Bronze,Small
Taman Desa,550000,2,1,1200.0,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bukit Jalil,638000,2,2,1090.09,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
KLCC,2480000,5,3,2900.0,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Bangsar,1161850,1,1,1223.023,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Medium
Bukit Jalil,1730000,4,2,1840.04,Fully Furnished,Land area,5,0,0,Terrace/Link House,Gold,Large
Jalan Klang Lama (Old Klang Road),800000,2,4,1600.0,Unfurnished,Land area,3,1,0,Terrace/Link House,Silver,Large
Wangsa Maju,1120000,4,2,1712.012,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Wangsa Maju,760000,2,2,1382.082,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Ampang,2600000,7,2,4500.0,Partly Furnished,Land area,6,1,0,Semi-detached House,Gold,Extra Large
Kepong,680000,2,2,46.07,Partly Furnished,Land area,3,0,0,Terrace/Link House,Silver,Small
Taman Melawati,2100000,5,3,53.082,Partly Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Jalan Klang Lama (Old Klang Road),880000,4,2,1535.035,Fully Furnished,Built-up,3,1,0,Condominium,Silver,Large
KLCC,950000,2,1,1429.029,Fully Furnished,Built-up,2,0,0,Condominium,Silver,Large
Bukit Jalil,580000,2,2,1073.073,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Jalan Klang Lama (Old Klang Road),568000,2,1,680.08,Fully Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Mont Kiara,1100000,1,1,1431.031,Fully Furnished,Built-up,1,0,0,Serviced Residence,Silver,Large
Jalan Ipoh,388000,1,1,700.0,Fully Furnished,Built-up,2,0,0,Condominium,Bronze,Small
Dutamas,385600,1,1,1787.028,Partly Furnished,Land area,1,1,0,Serviced Residence,Bronze,Large
Cheras,280000,2,1,750.05,Partly Furnished,Built-up,3,0,0,Apartment,Bronze,Small
Cheras,468600,2,2,1016.5,Unfurnished,Land area,2,0,0,Condominium,Bronze,Medium
Bukit Jalil,530000,2,2,1003.003,Unfurnished,Land area,3,0,0,Condominium,Bronze,Medium
KL Sentral,6350000,5,3,4058.058,Partly Furnished,Built-up,4,1,0,Serviced Residence,Deluxe,Extra Large
KL Sentral,5149700,4,3,2982.082,Fully Furnished,Built-up,4,0,0,Serviced Residence,Deluxe,Large
Bukit Jalil,960000,2,2,1218.018,Unfurnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Sri Petaling,638000,3,1,1278.078,Fully Furnished,Built-up,3,1,0,Serviced Residence,Silver,Medium
Mont Kiara,2719000,6,3,3317.017,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Dutamas,1200000,3,2,1395.095,Partly Furnished,Built-up,3,0,0,Condominium,Gold,Medium
Mont Kiara,680000,2,1,1423.023,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Large
